Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW ENGLAND,2020,5,,-,8,,18,,14,,,-,0,,,-,,-,,NEW ENGLAND,20200502,
MASSACHUSETTS,2020,1,,-,5,,,-,2,,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEW ENGLAND,2020,1,1,,8,,1,,3,,,-,0,,,-,,-,,NEW ENGLAND,20200102,
WASHINGTON,2020,1,,-,58,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
HAWAII,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
WISCONSIN,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MARYLAND,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
NEW YORK,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NORTH CAROLINA,2020,1,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
WEST SOUTH CENTRAL,2020,1,,-,72,,,-,7,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200143,
KENTUCKY,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
MINNESOTA,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
IDAHO,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
ILLINOIS,2020,1,,-,7,,,-,4,,,-,0,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
ARKANSAS,2020,1,,-,13,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
TOTAL,2020,1,6,,152,,6,,25,,,-,0,,,-,,-,,TOTAL,20200170,
OREGON,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
NEW YORK CITY,2020,1,,-,7,,,-,1,,,-,0,,,-,,-,,NEW YORK CITY,20200112,
NORTH DAKOTA,2020,1,,-,3,,,-,1,,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
NEW JERSEY,2020,1,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
RHODE ISLAND,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
MIDDLE ATLANTIC,2020,1,2,,55,,2,,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200109,
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MAINE,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
CONNECTICUT,2020,1,1,,5,,1,,,-,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PACIFIC,2020,1,,-,63,,,-,3,,,-,0,,,-,,-,,PACIFIC,20200157,
DISTRICT OF COLUMBIA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
DELAWARE,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
OHIO,2020,1,1,,9,,1,,,-,,-,0,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MISSOURI,2020,1,2,,15,,2,,1,,,-,0,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
MONTANA,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
US RESIDENTS,2020,1,6,,152,,6,,25,,,-,0,,,-,,-,,US RESIDENTS,20200101,
OKLAHOMA,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
GEORGIA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
EAST SOUTH CENTRAL,2020,1,,-,21,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200138,
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
VIRGINIA,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
PENNSYLVANIA,2020,1,2,,50,,2,,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
EAST NORTH CENTRAL,2020,1,1,,17,,1,,5,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200114,
WEST VIRGINIA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
NEVADA,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
ALABAMA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
SOUTH ATLANTIC,2020,1,,-,28,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200128,
SOUTH DAKOTA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
MOUNTAIN,2020,1,,-,13,,,-,1,,,-,0,,,-,,-,,MOUNTAIN,20200148,
COLORADO,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
FLORIDA,2020,1,,-,21,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
CALIFORNIA,2020,1,,-,23,,,-,3,,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
TEXAS,2020,1,,-,66,,,-,6,,,-,0,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
UTAH,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
SOUTH CAROLINA,2020,1,,-,19,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
TENNESSEE,2020,1,,-,21,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
NEBRASKA,2020,1,,-,19,,,-,2,,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
ARIZONA,2020,1,,-,10,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NEW MEXICO,2020,1,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
MICHIGAN,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
KANSAS,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
IOWA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
VERMONT,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
INDIANA,2020,1,,-,13,,,-,1,,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
ALASKA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
LOUISIANA,2020,1,,-,19,,,-,1,,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WYOMING,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
WEST NORTH CENTRAL,2020,1,2,,23,,2,,4,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
MISSISSIPPI,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
TOTAL,2020,3,7,,110,,49,,97,,,-,0,,,-,,-,,TOTAL,20200370,
TOTAL,2020,5,7,,110,,95,,160,,,-,0,,,-,,-,,TOTAL,20200570,
US RESIDENTS,2020,5,7,,110,,95,,160,,,-,0,,,-,,-,,US RESIDENTS,20200501,
