Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,358,,552,,754,,1087,,11,,10,,19,,16,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,6,,45,,14,,80,,,-,2,,,-,1,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,14,,,-,16,,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,2,,9,,9,,13,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
RHODE ISLAND,2020,2,,-,8,,,-,2,,,-,1,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,4,,4,,4,,2,,,-,1,,,-,1,,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,4,,26,,20,,46,,,-,3,,1,,1,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,21,,81,,21,,18,,3,,2,,3,,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,25,,29,,65,,50,,,-,3,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,9,,5,,13,,,-,1,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,71,,132,,175,,232,,7,,5,,12,,4,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,3,,34,,18,,60,,,-,3,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,55,,67,,118,,109,,7,,3,,12,,4,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,8,,19,,25,,21,,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,11,,,-,13,,,-,1,,,-,1,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,8,,9,,16,,10,,,-,1,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,4,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,79,,95,,122,,174,,1,,3,,1,,1,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,6,,,-,4,,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,5,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
GEORGIA,2020,2,3,,33,,6,,59,,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,13,,19,,31,,26,,,-,1,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,20,,,-,31,,,-,2,,,-,1,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,3,,1,,1,,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,2,54,,96,,112,,155,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,2,,25,,7,,43,,,-,1,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,13,,19,,31,,21,,,-,1,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
TENNESSEE,2020,2,19,,38,,42,,58,,,-,2,,,-,1,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,20,,143,,23,,57,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200243,
LOUISIANA,2020,2,,-,20,,,-,17,,,-,1,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,10,,115,,13,,32,,,-,4,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,29,,35,,61,,66,,,-,1,,1,,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,16,,23,,39,,31,,,-,1,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073)
NEVADA,2020,2,,-,19,,3,,22,,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,5,,19,,12,,33,,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,2,,12,,11,,15,,,-,1,,,-,1,,UTAH,,20200255,POINT (-111.678222 39.323779)
PACIFIC,2020,2,,-,11,,4,,10,,,-,1,,,-,,-,,PACIFIC,20200257,
ALASKA,2020,2,,-,6,,,-,6,,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
HAWAII,2020,2,,-,8,,4,,4,,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
TOTAL,2020,2,358,,552,,754,,1087,,11,,10,,19,,16,,,TOTAL,20200270,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,241,,856,,241,,534,,10,,13,,10,,6,,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,1,,271,,1,,7,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
